	cdi_youngster	hiv_noguerajulian	hiv_lozupone	t1d_alkanani	edd_singh	asd_son	crc_zeller	liv_zhang	ibd_papa	ob_zhu	crc_baxter	cdi_schubert	par_scheperjans	crc_wang	ibd_gevers	nash_zhu	cdi_vincent	ob_ross	asd_kang	art_scher	crc_chen	ob_goodrich	hiv_dinh	noncdi_schubert	ibd_morgan	ob_zupancic	ob_turnbaugh	t1d_mejialeon	ibd_willing	nash_wong
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis	0.0718223190731	-0.16340775053	1.71382930628		-0.560308841476	0.0618885027123	-0.494510971039	-0.99267011886	0.184875631729		-0.336093129443	2.10272036194	-0.249470130237	2.22454243912	0.235248468964		1.93845713514	0.649220817083	0.773756662858	-0.16280638021	2.03650351242	-0.174214824303	0.859622228501	1.37771359487	0.41144924983	-0.0776841730394	0.585410194265	0.698974955003		
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Selenomonas							-2.27562049688			0.0	0.0289783784113					10.3560492943	-12.2039693372						10.3560492943					-1.79571677894		
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Mitsuokella	0.0	0.628458488935	10.3560492943		-2.58314771629		0.729083874258					-12.2039693372	2.19112748279	-12.2039693372				1.58848467201		2.61832280058			2.27745329186	-12.2039693372			10.3560492943	-1.00267314045		10.3560492943
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus	10.3560492943	0.123569644879	2.18057612272	-1.59479277309	-2.94300195326	2.68074775488	-0.18608704835		-0.45506491157	-1.02836615475	0.051275060143	-0.639105321601	0.676437248322		0.451813775058	0.0909244821474	-3.74857034548	1.0663699272		0.426900967564		1.66527122233	1.38763778144	-0.234927045324	3.09872681854		4.14493005897	-4.00752702909	3.10262329038	-2.04308956271
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium	2.62143903183	1.18653803632	-2.53020258936	0.612963935234	-1.00958680653	-0.478501842875	1.40881213685	-0.438593907296	-2.38932796862	-1.41210248153	-0.0829955597031	-2.57232870078	-0.267006349718	-0.149080885846	-0.195081523137	-0.739162117397		-0.159326127982	-0.290877616065	-1.97359860725	0.48990321263	0.464921544013	1.23491840278	-12.2039693372	-1.61780609185		-1.10892197816		0.316080400909	0.736598277851
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister	-3.46078445462	0.420100792059	2.08429662049	2.01212621231	-1.39676291191	1.00467333025	0.0258588290581	-0.167361316411	-1.6198556714	0.433151119665	-0.930510757649	-0.183281593312	0.176838010932	-1.09050393563	0.0355124088411	0.675635020491	0.383079510495	1.81462648226	1.08061054117	0.853670523282	-2.57525698678	0.000981649993434	-1.26929327163	-0.938248080282	-0.415331623483	-1.89384102506	1.34094407034	-0.505142177798	0.203036653744	10.3560492943
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Negativicoccus									3.22141161119	10.3560492943					3.38281482792	10.3560492943														
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera	0.497802743848	-0.0372753151681	8.67398386435	1.8748514687	-2.10773926698	1.17905094634	-1.26532717462	7.92819383851	-5.26659153363	0.25690181701	-3.00829126615	1.08714256178			-2.83454847263	-0.936259689139	-1.25288615947	-0.0152501628234		3.87196789472		1.23690447632	-0.48821898846	2.86625335714	10.3560492943		10.3560492943	2.15987873201		0.738742375505
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Allisonella	0.0	0.168159001457	10.3560492943				0.560649020079				-0.853175533743		-1.13024295837		10.3560492943			-0.675220651188		1.94618324727		-0.200004306919					1.56688782105			
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella	10.2307302925	2.00596781797	-0.633570951771	3.04506378493	2.85176672718	1.35016106859	3.11638535824	4.89308028704	1.68274596697	-0.917215587793	0.709549197752	5.94618616163	1.28220767877		3.4103628938	-1.49973248228	-0.814365060262	1.13901864734	4.06222162333	2.72311721428	-3.46670476347	0.731296395076	5.41140838549	5.20097662509	2.28922105484		2.68526497532	-0.0207901478653	10.3560492943	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium							-1.97992545567					10.3560492943												10.3560492943						
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	2.68025676343	2.39397242006	2.60562511883		7.80103388337	0.355605625155	-0.236605687946		-0.880084943594	-0.24354216544	0.371183919716	1.41748561803	-0.551967697679		2.07622533455	1.31311425035	1.63278245346	-3.12752869074			10.3560492943	-0.716818140645		3.47524780043	-0.0817636391882		-0.524596142184	-0.824874282795	-0.383269576731	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	3.02611050147	0.0570666612944	1.46444393113	3.58752583037	2.62026848999	0.0324121117492	-1.82543569479	4.49977872157	1.77353676627	-0.573726938639	0.0490792367908	2.57523256205	0.840276293332	0.538151520803	1.8342893705	0.391140736822	-0.542998789093	0.967301700408	0.0128981040834	2.24173519867	-1.1560012372	0.474216245448	3.84464179544	3.66242864368	0.757539255257	1.14906638072	1.21770231468	2.68289889302	0.238481040079	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc		2.02348421096					-1.12281571488			2.30600719846	0.942669356036	-0.349962855591			1.92698612344	3.57881843414					10.3560492943	-0.814440226693		4.50708606751	-1.19990272705					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella		-0.535915914444	-4.53029635174		1.93848701677		0.112538665323	2.56129689079		2.30913575164	4.66365269528	-0.0538648169642			6.70986561026	3.404859792	-12.2039693372	-1.39819679198			1.9157529223	3.14321314049		-12.2039693372			5.99540000005			
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	10.3560492943	-0.410112951006			3.84306301619		1.9375985608	1.75746393645	3.38488611505	3.88322100599	2.19650574508	8.26743944118		4.6693885144	5.35750659732	3.43148623769	2.6350763563	-1.43186667872	-1.71187702082		-4.36302298169	-1.69731033872		9.42421395753	2.26455396195		10.3560492943	-1.65279354059	2.22772023815	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus					4.1219126641							5.86003844015					2.4471134712							3.94601834099	10.3560492943					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	4.83582941176	2.4067682091	-0.985106793874	10.3560492943	2.62682774814	-0.118818410756	-2.47171016984	5.37747755965	2.74706406365	10.3560492943	0.584719593502	4.80110000726	4.85281761772	4.09218489364	6.78343642439	10.3560492943	-1.08680953729	-0.99965203847	2.38702135875	-1.18913737236	2.74930108883	1.47647441908	2.87787751247	4.64352654864	6.01424347286		7.01089298837	10.3560492943	2.28145914087	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus	10.3560492943						-1.15901951338		2.60235457692		1.69198629208	10.3560492943			10.3560492943		10.3560492943							10.3560492943	10.3560492943					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_Incertae_Sedis_XI;g__Gemella	1.33275754352	0.129436918856			4.53915449366		0.862702878264				2.91146070878	5.25784125603			2.45405897121		1.61113857276				2.45735900028	0.705437843729		4.80533998061						
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	10.3560492943	-1.53323889145	0.429215256555	10.3560492943	10.3560492943		-1.88707625987			3.88166406496	0.70044168449	2.50987001963			9.83128863589	2.52891473308	3.98469677805	-9.62427604128				0.285880278241		2.69088827662	10.3560492943					
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_1;g__Peptococcus		-1.37980205392	10.3560492943				1.12126261909			2.09429288268	1.22949956635				-1.88902576226	2.82508856074	-0.828304609723			-2.3365466822		0.237841669293					1.54678247169			
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Sarcina		10.3560492943				-0.944982729774			-12.2039693372	10.3560492943	3.33429959739	0.397966239912			10.3560492943	10.3560492943						1.37761628357		-1.75926393336	10.3560492943					
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus	-6.60079797145	-0.428116514059		1.08430105833	-1.56069552329	-0.27838405158	-0.403127450414		-0.751918952684	0.0757804265279	-0.0690891380578	0.528643155999	-0.679650163902		0.238462319506	-0.309295989665	-2.02034577688	0.0697633942068	0.994891142649	-1.27612135771	-0.607698128406	-0.830608687326	1.28818408371	1.75398348605	0.401745159397	0.483199362103	0.100699696391	-0.0908267008605	-1.07863694478	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto	1.06135836572	-0.737847531316	-3.28642312031	3.91199373437	2.734974431	-1.35561045496	-0.861768201959	2.54013317313	3.30988969559	-0.879290149599	0.107332970968	1.68087323628	-0.715829162347	-0.139405063667	2.75879285597	-1.19098140328	-1.02460268841	0.0584374703386		-0.302669133619	2.07784390555	-0.601793611106	10.3560492943	0.901944565702	2.59153193246	-0.532622771639	-1.03822265102	-1.2245243201	1.79893491743	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Anaerosporobacter	-12.2039693372		-12.2039693372	1.06571774491			0.164808456194			-4.73626439938	-0.722632996009				-0.0198128449941	-5.66142455473						-0.524638128879								
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	-7.07084385511	0.879987293722	-0.864499829413	0.488831378181	-1.89104489284	-0.0621439084526	-0.552026237955	0.537068456836	0.762413087437	-0.934773511589	-0.344919122164	-0.563030312465	0.101156711956		-0.165977082284	-1.93313792316	-1.29334757494	-0.663450593622		0.137693116038	0.612518256134	-0.143762183169	1.13199518797	-1.75788697497	-0.758788591793	0.253155692856	0.302518553975	2.07493770105	-0.146644384687	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	-1.57042032833	0.627675798488	-1.12730314467	-0.567689180315	-1.06712142435	-0.0755948140189	-0.246738766395	-0.388040630491	0.0713553501043	-1.45946219858	-0.025776492355	-1.83693678311	-0.0763312138992	-1.23314880401	-1.65012745025	-1.02998978054	2.36939386047	0.0996836450821	-1.75910676888	0.239035009036	1.34244982875	0.666104500393	1.18602658029	-1.70091870777	0.192492674022	0.306412573728	0.714271966284	-0.0831638325785	-0.0148823467796	-0.210576114621
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	-1.44259440272	-0.114640998249	0.259234150086	1.05940761253	-0.358731444517	-0.215040309213	-0.402972022257	-3.39125883711	0.365964246834	-0.65514891977	0.0393916510086	-0.687137958426	-0.46800779448	0.319862730742	-0.828944789648	-0.833132997099	-0.314966666618	0.0748332905345		0.223030440018	0.521575123946	0.432001944093	1.44994090458	-1.80483829027	-0.291006813683	0.621654397346	0.432121074979	-0.665392710089	-0.220603291896	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium						-0.146327589298	0.329428104727				-1.73285216465		1.64890122266					2.51446479109				-0.560272633351							-12.2039693372	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio		-1.72159382751							-12.2039693372											3.96181310356						-1.36582041412	0.283682892475			
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira		-0.0516025066721				-0.17509597082			1.54733167215					-2.20960878649				0.22345720202		-1.24624518404	-0.192464267116					0.10500406152	0.486301334811			
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella	10.3560492943		-1.65303952375				-0.771338337208				0.316035301372	5.76611934923			10.3560492943							-0.974069454212		4.85079320247	10.3560492943					
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio		0.48322593203	4.80914856643		-2.48725731759		2.68556360364				-1.35843212447			-0.0977363671678				0.5466182388			-1.28972537561	-0.098342468035	0.710143366143		-1.31704155261					
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella			1.55811690814				2.51831165159			10.3560492943	1.10159770125				10.3560492943	10.3560492943	-0.743946808621					2.78468996022							-0.278107350841	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hespellia	-12.2039693372	-1.71981697691	-0.186482332284	10.3560492943			-0.290639036524			-0.00702251218662	0.0654083191091	0.20335417061			-0.734422742635	-1.88744144926					-0.949631468615	-0.0768263742583		-0.127061266217						
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	-4.02450991748	1.5211419087	-1.55911272968	1.43943964832	-1.42165600759		-1.0912378348		-0.562299510358	-1.35555641427	-0.354662489237	-1.23851262503			0.546792125714	-1.86737162135	1.25037212475		0.823113561511	1.07808560477		0.193134654285	2.40633416698	-1.93570901488	0.00856850511287	-0.651100445321	-0.0370922362278	3.22250255491	4.35884803755	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	-2.72689403793	0.0512406348191	-0.605004909416	0.727636431181	-1.25821150132	-0.752370947183	-0.562846150061	2.68978389061	0.193846453832	-1.97781305184	0.0545819297853	1.13140144046	0.022094898983	0.726933499572	-0.30879059491	-1.3327069483	0.388206687894	-0.830759214523	10.3560492943	-0.220069635596	-0.274345130249	0.428392033752	1.07666110189	0.923775760266	0.157426839593	-0.194814821284	0.204177725243	0.40427877499	-0.109439602259	-12.2039693372
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Syntrophococcus						-0.73011403569	5.92072462118			10.3560492943		-2.43239551268	-0.763035580745			10.3560492943			-2.19578712476			-1.53474100511	-2.05191137158	-3.11575514309				10.3560492943		
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa	1.32077809418	-0.193116036221	-0.673251183495	-0.833875678762	0.202853843116	0.0540631773473	0.410865402683	1.18612235033	-0.807449325194	0.764690964035	0.203567748878	0.32790198598	-0.22108920255	0.656221446135	-0.643204304876	0.831841781867	0.163022032775	-0.314559744624	0.71340620137	0.499491936448	0.554584628675	0.168480977054	1.88203718419	-0.48580344746	1.06490895904	0.85409820372	0.207882509505	0.951604228381	1.70336756383	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVb	1.92500713861	0.201461767094	-2.80102673154	1.73753432672	-0.431963137273	-1.78624817226	1.59302757774	3.42080297327	0.632335143662	0.480556402218	0.70158707626	1.11769864261	0.906976975432		0.492942327681	0.522097974345	-0.580597104428	0.240120741446	-2.86435024161	0.824594787449	0.432963633332	0.85482423008	0.921908559492	0.861137597523	0.0444480508087		-0.976100647755	-0.677052890824	1.12559014131	-12.2039693372
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis	0.645304236006	-0.118580830923	0.180569704014	0.365075146904	-1.43497873305	-0.0239847723156	-0.382807375825	-0.399245879528	-0.595511691446	-1.36596229906	-0.323156170495	-3.73599091897	-0.184483241083	-0.76661321351	-0.251984366085	-1.39508464044	-1.07077227255	-0.036453213557	0.320785649378	0.22523331401	-0.0567802679166	-0.0275192090213	-0.547463315868	-2.39852716548	-0.934055529873	0.627124441452	0.279811760002	0.263903987214	0.677801795642	-0.282949431462
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus2	-0.712790880821	-0.576561501281	-0.297160999273	2.55463201958	0.168587800152	-0.025590842608	-0.356838055149	0.784814705631	-0.635751519042	-0.873163078498	0.160747457416	0.759588613422	-0.249531086155	-1.041724313	-1.01137963656	-1.33798002987	1.26899602039	0.377060063733		-0.265608278626	0.50604313827	0.248871220139	0.82849256131	0.796520991432	-0.408597530094	0.307429261044	0.0861613464961	-0.292769493831	-0.214236923241	-12.2039693372
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	0.0512398924463	0.0715750404769	-3.870838281		-3.27075061078		-0.470236854652			2.10020562273	0.776103503696	-1.41484847296		0.81775821702	-1.46556367829	2.08994696078	4.01249329858	1.12956138969	-1.38850828161		0.797847450243	0.457336561159		-0.872344819677	-1.30457093629		-2.8850252179		0.0974158595147	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis		-1.11157174064					-0.595618285822				-0.0893540092285	3.40891129498			0.720706603168							0.529021975275		3.35085220598						
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter	-10.4403242349	-0.386302509705	-0.024977432634	1.48890451842	-2.05927955425	0.138274829618	0.399152870145	-1.69923190426	-2.05277592737	0.264635389028	0.349960134206	-0.927797283977	0.183418249964	-0.89746279047	-0.418634395408	-0.442596194897	0.592205422206	-0.0269034825778	-0.990599660997	-0.418086513708	1.52633478305	-0.346383819911	0.957100184932	-0.791823666449	-0.687952775427	-0.0321440226639	-0.582502059571	0.45011086172	-0.519504988454	-0.479131240043
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor	-2.05872656441	-0.708496286539	-0.976710861193	-0.493688728265	-1.69155288135	0.165822434164	1.19141122352	2.50452819189	-3.18507120281	0.250052144448	-0.0704277487095	0.00661696216599	0.0430966033563	-1.24081616972	0.216155504844	-0.0134021675945	1.19183191191	-0.742621663785	0.277805646981	-0.575039686521	1.37680501512	0.225519569353	0.895201309341	-0.753268098174	2.90133800593	1.61077439539	-0.743995071081	-0.0856557115747		
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Howardella		-0.958334782129	-0.115427970144		-3.62048364348		-1.63963714247			10.3560492943	0.255716193291	0.183716330869			-6.46684480694	10.3560492943	-12.2039693372	1.79199294509	-0.808859135293	0.131149684884		-0.83262342774	1.86869839537	-0.0986744672412	10.3560492943	-1.49612426568	10.3560492943		-1.62444336767	2.05346837956
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor	-12.2039693372	-0.551538994731	10.3560492943	10.3560492943	0.718965453618	-0.395349864147	0.986701401194		-3.16501950985	0.0807782717146	0.215669574526	-0.523440836039	0.26377935892		-1.31271380596	-0.542198191085		-5.61912244807	0.625240425843	0.0502546529315		-0.190726833192		1.51741238017		-2.30720621416	-2.02910887155		-0.369818870984	10.3560492943
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	-7.72434541541	-0.0999929458038	1.0888849411	0.113611374687	-0.560327683491	-0.511725317359	-0.193726095325	-0.205275092019	-0.102367834347	-0.842948858762	-0.170845470138	-2.21759178498	-0.056158444412	0.111289753376	0.229934536794	-1.06258735683		-0.196718173638	-0.284634388369	0.64364686182	-0.200671563628	0.0918989783846	-0.453192239292	-2.10693128363	-0.445866832304	-0.15852009577	0.217419565788	0.704117658966	-0.26539168045	-3.48706475513
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetanaerobacterium	-8.46162250934	-0.340819869407	10.3560492943	-0.573418715511			1.14806394763		-6.2266603832	0.971466777964	0.990405871235		0.384115030422		1.36044781007	0.334462656643		2.78067509933		-1.21777233262	10.3560492943	0.494266949274					-0.236367615508			
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter	-3.14519706342	1.18665652401	-0.00873486067677	0.336827499616	-2.71774273916		0.619011181242			-1.72557644315	-0.0112286124945	-0.33292412528	-2.66523792466		-0.710022509298	-2.52838459848			-2.78755707376			-0.391714460961	0.914397613097	0.0627237158659	-2.26984707747	4.75692250144	2.72327511268	2.33752035838	-0.390727791549	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	-9.02744013878	0.238715120878	1.11647410778	-0.20584066052	-2.82061805429	0.25661973705	-0.94412401501	-1.55721856186	-0.902584661624	-0.280304508587	0.0805185093555	-6.12202928137	0.799426931411		-2.25979149382	-2.28970172794	0.813639158713	-0.817718225899	0.760057155362	0.125270686105	-0.404680402986	0.028248824674	0.102781410907	-3.637612821	-3.39753432982	-0.111586150243	-0.551194839151	0.193596284429	-0.123972515766	-12.2039693372
