study	taxonomic_level	taxa_or_feature	no_difference	group_lower	group_higher	qval	method	multi_comp	multi_comp_method
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	c__Acidaminococcaceae;o__;f__;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Roseburia		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Ruminococcus		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Odoribacter		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Anaerostipes		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Parasutterella		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Oscillibacter		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Clostridium XI;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	g__Parabacteroides		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Clostridium XIVa;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	g__Streptococcus		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Clostridium XVIII;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Erysipelotrichaceae;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	g__Enterococcus		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Enterobacteriaceae;g__		control	cdi		kw_lefse	unk	unk
cdi_schubert	genus	f__Clostridium XI;g__		cdi	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	g__Blautia		cdi	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	f__Clostridium XIVa;g__		cdi	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	f__Clostridium XVIII;g__		cdi	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	f__Clostridiaceae;g__		cdi	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	f__Erysipelotrichaceae;g__		cdi	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	g__Bacteroides		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Bacteroides		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Bacteroides		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Alistipes		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	c__Acidaminococcaceae;o__;f__;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Roseburia		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Ruminococcus		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Odoribacter		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Anaerostipes		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Parasutterella		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Oscillibacter		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		control	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	f__Clostridium XI;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		control	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	g__Parabacteroides		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Blautia		control	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Lachnospiraceae;g__		nonCDI	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Streptococcus		control	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	f__Erysipelotrichaceae;g__		control	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	g__Enterococcus		control	nonCDI		kw_lefse	unk	unk
cdi_schubert	genus	f__Enterobacteriaceae;g__		control	nonCDI		kw_lefse	unk	unk
cdi_vincent		alpha_diversity		cdi	control	<0.05	shannon		
cdi_vincent	phylum	p__Bacteroidetes		cdi	control	<0.05			
cdi_vincent	family	f__Clostridiales Incertae Sedis XI		cdi	control	<0.005			
cdi_vincent	family	f__Bacteroidaceae		cdi	control	<0.05			
cdi_vincent	family	f__Enterococacceae		control	cdi	<0.05			
crc_xiang	genus	g__Paraprevotella		control	crc	<0.05	mann_whitney	unk	unk
crc_xiang	genus	g__Eubacterium		control	crc	<0.05	mann_whitney	unk	unk
crc_xiang	genus	g__Desulfovibrio		control	crc	<0.05	mann_whitney	unk	unk
crc_xiang	genus	g__Mogibacterium		control	crc	<0.05	mann_whitney	unk	unk
crc_xiang	genus	g__Collinsella		control	crc	<0.05	mann_whitney	unk	unk
crc_xiang	genus	g__Anaerotruncus		control	crc	<0.05	mann_whitney	unk	unk
crc_xiang	genus	g__Slackia		control	crc	<0.05	mann_whitney	unk	unk
crc_xiang	genus	g__Anaerococcus		control	crc	<0.005	mann_whitney	unk	unk
crc_xiang	genus	g__Porphyromonas		control	crc	<0.005	mann_whitney	unk	unk
crc_xiang	genus	g__Peptosreptococcus		control	crc	<0.005	mann_whitney	unk	unk
crc_zhao		alpha_diversity	no_difference			>0.05	"shannon, simpson, evenness"		
crc_zhao	phylum	p__Bacteroidetes		crc	control	0.002			
crc_zhao	phylum	p__Proteobacteria		control	crc	0.045			
crc_zhao	genus	g__Bacteroides		crc	control	0.005			
crc_zhao	genus	g__Roseburia		crc	control	0.003			
crc_zhao	genus	g__Alistipes		crc	control	0.039			
crc_zhao	genus	g__Eubacterium		crc	control	0.028			
crc_zhao	genus	g__Parasutterella		crc	control	0.032			
crc_zhao	genus	g__Porphyromonas		control	crc	0.02			
crc_zhao	genus	g__Escherichia-Shigella		control	crc	2.00E-04			
crc_zhao	genus	g__Enterococcus		control	crc	5.00E-04			
crc_zhao	genus	g__Streptococcus		control	crc	0.018			
crc_zhao	genus	g__Peptosreptococcus		control	crc	5.50E-06			
crc_zhao		butyrate_producing_bacteria		crc	control	1.50E-04	butyryl-CoA-CoA transferase qPCR		
crc_zhao	OTU	f__Bacteroidaceae;g__Bacteroides;s__vulgatus		crc	control	0.000193	mann_whitney	unk	
crc_zhao	OTU	f__Bacteroidaceae;g__Bacteroides;s__vulgatus		crc	control	0.000587	mann_whitney	unk	
crc_zhao	OTU	f__Bacteroidaceae;g__Bacteroides;s__uniformis		crc	control	0.023	mann_whitney	unk	
crc_zhao	OTU	f__Bacteroidaceae;g__Bacteroides;s__fragilis		control	crc	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Rikenellaceae;g__Alistipes;s__indistinctus		crc	control	0.000382	mann_whitney	unk	
crc_zhao	OTU	f__Bifidobacteriaceae;g__;s__		control	crc	0.00034	mann_whitney	unk	
crc_zhao	OTU	c__Actinobacteria;o__;f__;g__;s__		control	crc	0.013	mann_whitney	unk	
crc_zhao	OTU	f__Ruminococcaceae;g__Oscillospira;s__guilliermondii		crc	control	0.000714	mann_whitney	unk	
crc_zhao	OTU	f__Enterobacteriaceae;g__;s__		control	crc	2.42E-05	mann_whitney	unk	
crc_zhao	OTU	f__Enterobacteriaceae;g__;s__		control	crc	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Enterobacteriaceae;g__;s__		control	crc	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Enterobacteriaceae;g__Klebsiella;s__oxytoca		control	crc	0.01	mann_whitney	unk	
crc_zhao	OTU	f__Enterobacteriaceae;g__Escherichia;s__fergusonii		control	crc	0.012	mann_whitney	unk	
crc_zhao	OTU	f__Moraxellaceae;g__Acinetobacter;s__johnsonii		control	crc	0.012	mann_whitney	unk	
crc_zhao	OTU	f__Enterobacteriaceae;g__Citrobacter;s__freundii		control	crc	0.012	mann_whitney	unk	
crc_zhao	OTU	f__Fusobacteriaceae;g__;s__		control	crc	0.005	mann_whitney	unk	
crc_zhao	OTU	f__Coriobacteriaceae;g__Eggerthella;s__lenta		control	crc	0.009	mann_whitney	unk	
crc_zhao	OTU	f__Clostridiaceae;g__Clostridium;s__spiroforme		crc	control	0.009	mann_whitney	unk	
crc_zhao	OTU	f__Staphylococcaceae;g__Gemella;s__morbillorum		control	crc	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Enterococcaceae;g__;s__		control	crc	0.003	mann_whitney	unk	
crc_zhao	OTU	f__Enterococcaceae;g__;s__		control	crc	0.012	mann_whitney	unk	
crc_zhao	OTU	f__Clostridiaceae;g__Clostridium;s__innocuum		control	crc	0.005	mann_whitney	unk	
crc_zhao	OTU	f__Streptococcaceae;g__Streptococcus;s__thermophilus		control	crc	0.011	mann_whitney	unk	
crc_zhao	OTU	f__Streptococcaceae;g__Streptococcus;s__gallolyticus		control	crc	0.012	mann_whitney	unk	
crc_zhao	OTU	f__Veillonellaceae;g__Phascolarctobacterium;s__faecium		crc	control	0.032	mann_whitney	unk	
crc_zhao	OTU	f__Veillonellaceae;g__Dialister;s__pneumosintes		control	crc	0.001	mann_whitney	unk	
crc_zhao	OTU	f__Peptostreptococcaceae;g__Peptostreptococcus;s__stomatis		control	crc	1.42E-07	mann_whitney	unk	
crc_zhao	OTU	f__Peptostreptococcaceae;g__Peptostreptococcaceae;s__091		control	crc	0.016	mann_whitney	unk	
crc_zhao	OTU	f__Incertae Sedis XI;g__Parvimonas;s__micra		control	crc	0.000309	mann_whitney	unk	
crc_zhao	OTU	f__Incertae Sedis XI;g__;s__		control	crc	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Clostridiaceae;g__Clostridiaceae;s__SH021		crc	control	0.008	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__Dorea;s__longicatena		control	crc	0.544	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__Dorea;s__longicatena		control	crc	0.012	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__Lachnospira;s__pectinoschiza		crc	control	9.23E-05	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__Lachnospira;s__pectinoschiza		crc	control	0.023	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__Lachnospira;s__pectinoschiza		crc	control	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__Lachnospira;s__pectinoschiza		crc	control	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__butyrate-producing;s__A2-166		crc	control	0.019	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__;s__		crc	control	0.278	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__;s__		crc	control	0.024	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__Ruminococcus;s__torques		crc	control	0.009	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__Roseburia;s__intestinalis		crc	control	0.001	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__;s__		crc	control	0.002	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__;s__		crc	control	0.038	mann_whitney	unk	
crc_zhao	OTU	f__Incertae Sedis XIV;g__Ruminococcus;s__obeum		control	crc	0.027	mann_whitney	unk	
crc_zhao	OTU	o__Clostridiales;f__;g__;s__		control	crc	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__;s__		control	crc	0.006	mann_whitney	unk	
crc_zhao	OTU	f__Lachnospiraceae;g__;s__		control	crc	0.000905	mann_whitney	unk	
crc_zhu	phylum	p__Fusobacteria		control	crc	<0.01	mann_whitney	unk	
crc_zhu	family	f__Eubacteriaceae		control	crc	0.037		unk	
crc_zhu	family	f__Clostridiales Incertae Sedis XI		control	crc	0.004		unk	
crc_zhu	family	f__Staphylococcaceae		control	crc	0.011		unk	
crc_zhu	family	f__Campylobacteraceae		control	crc	0.014		unk	
crc_zhu	family	f__Porphyromonadaceae		control	crc	0.001		unk	
crc_zhu	family	f__Fusobacteriaceae		control	crc	0.001		unk	
crc_zhu	genus	g__Odoribacter		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Parabacteroides		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Porphyromonas		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Gemella		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Eubacterium		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Peptosreptococcus		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Fastidiosipila		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Oscillibacter		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Anaerococcus		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Parvimonas		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Holdemania		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Solobacterium		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Fusobacterium		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Leptotrichia		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Kingella		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Campylobacter		control	crc		mann_whitney	unk	
crc_zhu	genus	g__Leuconostoc		crc	control		mann_whitney	unk	
crc_zhu	genus	g__Streptococcus		crc	control		mann_whitney	unk	
crc_zhu	genus	g__Bacteroides		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Alistipes		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Blautia		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Doria		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Escherichia-Shigella		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Fastidiosipila		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Odoribacter		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Oscillibacter		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Phascolarctobacterium		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Subdoligranulum		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Ruminococcus		control	crc		PLS-DA	unk	
crc_zhu	genus	g__Faecalibacterium		crc	control		PLS-DA	unk	
crc_zhu	genus	g__Roseburia		crc	control		PLS-DA	unk	
crc_zeller	phylum	p__Actinobacteria		crc	control	4.58E?02	wilcoxon	yes	FDR
crc_zeller	phylum	p__Proteobacteria		control	crc	5.59E?02	wilcoxon	yes	FDR
crc_zeller	phylum	p__Firmicutes		crc	control	1.77E?03	wilcoxon	yes	FDR
crc_zeller	phylum	p__Bacteroides		control	crc	9.49E?02	wilcoxon	yes	FDR
crc_zeller	phylum	p__Fusobacteria		control	crc	1.33E?05	wilcoxon	yes	FDR
crc_zeller	genus	g__Fusobacterium		control	crc	2.72E-04	wilcoxon	yes	FDR
crc_zeller	genus	g__Pseudoflavonifractor		control	crc	1.15E-03	wilcoxon	yes	FDR
crc_zeller	genus	g__Eubacterium		crc	control	1.15E-03	wilcoxon	yes	FDR
crc_zeller	genus	g__Ruminococcus		crc	control	6.87E-03	wilcoxon	yes	FDR
crc_zeller	genus	g__Peptosreptococcus		control	crc	1.29E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Leptotrichia		control	crc	2.83E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Porphyromonas		control	crc	5.59E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Desulfovibrio		control	crc	5.59E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Bifidobacterium		crc	control	5.59E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Parvimonas		control	crc	5.77E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Selenomonas		control	crc	6.43E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Bilophila		control	crc	6.43E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Campylobacter		crc	control	8.33E-02	wilcoxon	yes	FDR
crc_zeller	genus	g__Acinetobacter		crc	control	8.33E-02	wilcoxon	yes	FDR
crc_zeller	species	g__Pseudoflavonifractor;s__capillosus		control	crc	0.00107	wilcoxon	yes	FDR
crc_zeller	species	g__Ruminococcus;s__		crc	control	0.0173	wilcoxon	yes	FDR
crc_zeller	species	unclassified butyrate-producing bacterium 		crc	control	0.0173	wilcoxon	yes	FDR
crc_zeller	species	f__Ruminococcaceae;g__;s__		control	crc	0.0173	wilcoxon	yes	FDR
crc_zeller	species	g__Eubacterium;s__hallii		crc	control	0.018	wilcoxon	yes	FDR
crc_zeller	species	g__Eubacterium;s__eligens		crc	control	0.0205	wilcoxon	yes	FDR
crc_zeller	species	g__Ruminococcus:s__		crc	control	0.022	wilcoxon	yes	FDR
crc_zeller	species	g__Leptotrichia;s__hofstadii		control	crc	0.035	wilcoxon	yes	FDR
crc_zeller	species	g__Streptococcus;s__salivarius		crc	control	0.0555	wilcoxon	yes	FDR
crc_zeller	species	g__Fusobacterium;s__periodonticum		control	crc	0.063	wilcoxon	yes	FDR
crc_zeller	species	g__Roseburia;s__intestinalis		crc	control	0.0658	wilcoxon	yes	FDR
crc_zeller	species	g__Bacteroides;s__fragilis		control	crc	0.0746	wilcoxon	yes	FDR
crc_zeller	species	g__Eubacterium;s__ventriosum		crc	control	0.077	wilcoxon	yes	FDR
crc_zeller	species	g__Bilophila;s__wadsworthia		control	crc	0.0841	wilcoxon	yes	FDR
crc_zeller	species	g__Neisseria;s__		control	crc	0.0841	wilcoxon	yes	FDR
crc_zeller	species	g__Campylobacter;s__rectus		control	crc	0.0841	wilcoxon	yes	FDR
crc_zeller	species	g__Selenomonas;s__sputigena		control	crc	0.0841	wilcoxon	yes	FDR
crc_zeller	species	g__Leptotrichia;s__buccalis		control	crc	0.0841	wilcoxon	yes	FDR
crc_zeller	species	g__Clostridium;s__hylemonae		control	crc	0.0887	wilcoxon	yes	FDR
crc_zeller	species	g__Ruminococcus;s__bromii		crc	control	0.0939	wilcoxon	yes	FDR
crc_zeller	species	g__Clostridium;s__symbiosum		control	crc	0.0955	wilcoxon	yes	FDR
crc_zeller	species	g__Parvimonas;s__		control	crc	0.0563	wilcoxon	yes	FDR
crc_zeller	species	g__Fusobacterium;s__nucleatum;sb__polymorphum		control	crc	0.00323	wilcoxon	yes	FDR
crc_zeller	species	g__Porphyromonas;s__asaccharolytica		control	crc	0.00961	wilcoxon	yes	FDR
crc_zeller	species	g__Prevotella;s__nigrescens		control	crc	0.0215	wilcoxon	yes	FDR
crc_zeller	species	g__Fusobacterium;s__nucleatum;sb__nucleatum		control	crc	0.000654	wilcoxon	yes	FDR
crc_zeller	species	g__Parvimonas;s__micra		control	crc	0.0665	wilcoxon	yes	FDR
crc_zeller	species	g__Eubacterium;s__rectale		crc	control	0.063	wilcoxon	yes	FDR
crc_zeller	species	g__Peptostreptococcus;s__stomatis		control	crc	0.022	wilcoxon	yes	FDR
crc_zeller	species	g__Fusobacterium;s__nucleatum;sb__animalis 		control	crc	7.51E-05	wilcoxon	yes	FDR
crc_zeller	species	g__Fusobacterium;s__nucleatum;sb__vincentii 		control	crc	1.30E-05	wilcoxon	yes	FDR
crc_baxter	OTU	g__Porphyromonas;s__asaccharolytica		control	crc		RF_feature		
crc_baxter	OTU	g__Peptostreptococcus;s__stomatis		control	crc		RF_feature		
crc_baxter	OTU	g__Fusobacterium;s__nucleatum		control	crc		RF_feature		
crc_baxter	OTU	g__Parvimonas;s__micra		control	crc		RF_feature		
crc_baxter	OTU	g__Prevotella;s__		control	crc		RF_feature		
crc_baxter	OTU	g__Porphyromonas;s__		control	crc		RF_feature		
crc_baxter	OTU	g__Gemella;s__		control	crc		RF_feature		
crc_zackular	OTU	g__Bacteroides;s__		adenoma	control	0.001	lefse		
crc_zackular	OTU	g__Bacteroides;s__		adenoma	control	0.003	lefse		
crc_zackular	OTU	o__Clostridiales;f__;g__;s__		adenoma	control	0.007	lefse		
crc_zackular	OTU	g__Clostridium;s__		adenoma	control	0.008	lefse		
crc_zackular	OTU	f__Lachnospiraceae;g__;s__		adenoma	control	0.013	lefse		
crc_zackular	OTU	g__Fusobacterium;s__		control	crc	0.001	lefse		
crc_zackular	OTU	f__Lachnospiraceae;g__;s__		crc	control	0.002	lefse		
crc_zackular	OTU	g__Porphyromonas;s__		control	crc	0.002	lefse		
crc_zackular	OTU	f__Porphyromonadaceae;g__;s__		control	crc	0.006	lefse		
crc_zackular	OTU	g__Bacteroides;s__		crc	control	0.008	lefse		
crc_zackular	OTU	f__Enterobacteriaceae;g__;s__		control	crc	0.04	lefse		
ibd_gevers	OTU	f__Lachnospiraceae;g__;s__		control	cd	0.047547999	maaslin	yes	
ibd_gevers	OTU	g__Ruminococcus;s__		control	cd	0.0141818	maaslin	yes	
ibd_gevers	OTU	f__Coriobacteriaceae;g__;s__		control	cd	0.052205552	maaslin	yes	
ibd_gevers	OTU	g__Dorea;s__		control	cd	0.145364266	maaslin	yes	
ibd_gevers	OTU	g__Ruminococcus;s__		control	cd	0.057826703	maaslin	yes	
ibd_gevers	OTU	g__Blautia;s__producta		control	cd	0.003271136	maaslin	yes	
ibd_gevers	OTU	g__Ruminococcus;s__torques		control	cd	0.022858874	maaslin	yes	
ibd_gevers	OTU	g__Streptococcus;s__		cd	control	0.088634375	maaslin	yes	
